"","title","time"
"1","國票證券：台股驅動誘因較欠缺，恐難擺脫觀望...","2016-08-31"
"2","日盛投顧：台股量能未放大前，指數恐呈震盪整...","2016-08-31"
"3","日盛投顧：台股有機會挑戰9200高點","2016-08-30"
"4","統一證券：台股反彈格局已見疲態","2016-08-30"
"5","國票證券：台股多方上攻明顯存在難度","2016-08-30"
"6","《Fund投資》外資買氣轉弱 台股上周吸金仍奪...","2016-08-29"
"7","《Fund投資》台股短線高檔震盪；長線仍未偏...","2016-08-29"
"8","日盛投顧：台股極短線操作區間8900~9200點...","2016-08-29"
"9","統一證券：台股資金行情恐轉淡","2016-08-29"
"10","國票證券：台股9200點附近的壓力相對較大","2016-08-29"
"11","《精選部落客》手握百億美金的美股大戶持有股...","2016-08-28"
"12","《Fund投資》台股觀望氣氛濃厚 投資人應有風...","2016-08-26"
"13","日盛投顧：台股RSI及KD開口向上，短線震...","2016-08-26"
"14","統一證券：台股盤勢仍面臨震盪修正的可能性","2016-08-26"
"15","國票證券：台股短線應持續9100點上下百點震盪...","2016-08-26"
"16","日盛投顧：台股或將挑戰或突破9200壓力區","2016-08-25"
"17","台股上漲 台幣早盤升值7.3分","2016-08-25"
"18","國票證券：台股觀望氣氛濃厚將使盤勢表現偏弱","2016-08-25"
"19","統一證券：台股月線以上已成上檔套牢區，不利...","2016-08-25"
"20","日盛投顧：台股整理區間約在8900-9150...","2016-08-24"
"21","統一證券：台股短期五日、十日及中期月均線維...","2016-08-24"
"22","國票證券：台股短線上市場心態恐趨於謹慎","2016-08-24"
"23","韓元反彈+台股收紅 台幣止跌強升1.14角","2016-08-23"
"24","日盛投顧：台股中線多頭並未破壞，仍可回檔站...","2016-08-23"
"25","國票證券：台股盤勢將暫時維持月線與季線間的...","2016-08-23"
"26","統一證券：台股的下檔支撐當在季線8826點位置...","2016-08-23"
"27","《Fund投資》觀望葉倫演說 新興亞股買氣減弱...","2016-08-22"
"28","日盛投顧：台股下檔8826~8900點為短中線強力...","2016-08-22"
"29","國票證券：台股從型態或指標來看大盤有拉回修...","2016-08-22"
"30","統一證券：台股後勢轉為弱勢格局，建議保守以...","2016-08-22"
"31","日盛投顧：台股未出現黃金交叉買訊前，短線將...","2016-08-19"
"32","國票證券：在短多成效不彰下，台股恐增強短空...","2016-08-19"
"33","統一證券：台股預期指數走高不易，上檔空間有...","2016-08-19"
"34","日盛投顧：台股量能不足，短線整理","2016-08-18"
"35","國票證券：台股再測下方支撐風險恐持續升溫","2016-08-18"
"36","統一證券：台股屬高檔震盪格局","2016-08-18"
"37","日盛投顧：台股5日線下彎，支撐看月線至9千點...","2016-08-17"
"38","統一證券：台股短期將持續震盪整理","2016-08-17"
"39","國票證券：台股盤勢多空易位恐僅止於百點間","2016-08-17"
"40","日盛投顧：台股極短線操作區間9000~9200點...","2016-08-16"
"41","《權民當家》深港通資金排擠效應，台股險守9...","2016-08-16"
"42","統一證券：台股五日均線及KD值轉為負向走勢","2016-08-16"
"43","國票證券：台股維持高檔整理格局","2016-08-16"
"44","《Fund投資》亞股買氣續旺 台韓穩居吸金雙雄...","2016-08-15"
"45","國票證券：台股向上空間恐受限","2016-08-15"
"46","統一證券：台股屬狹幅整理格局","2016-08-15"
"47","《Fund投資》陸股排擠 台股MSCI權重遭連...","2016-08-12"
"48","日盛投顧：外資若未連賣，台股仍有轉強機會","2016-08-12"
"49","MSCI台股權重連十二降 8/31收盤後生效...","2016-08-12"
"50","統一證券：台股觀望氣氛增加，持續震盪整理","2016-08-12"
"51","國票證券：台股應在月線到7/8空方缺口間震盪...","2016-08-12"
"52","日盛投顧：台股未跌破月線前，不致於大幅回檔","2016-08-11"
"53","統一證券：台股盤堅多頭格局不變","2016-08-11"
"54","國票證券：台股技術面續強，有利多方控盤","2016-08-11"
"55","日盛投顧：台股仍有高點可期","2016-08-10"
"56","國票證券：台股短線有拉回整理之慮","2016-08-10"
"57","統一證券：台股下檔支撐上移，仍有高點可期","2016-08-10"
"58","日盛投顧：台股即便出現整理，回檔空間或將有...","2016-08-09"
"59","統一證券：台股多方持續掌控盤面","2016-08-09"
"60","國票證券：台股續強機會較大","2016-08-09"
"61","《Fund投資》錢進亞股不停歇 台股穩居吸金王...","2016-08-08"
"62","日盛投顧：台股9000附近具強勁支撐","2016-08-08"
"63","國票證券：台股攻擊量能仍不足，推升力道恐受...","2016-08-08"
"64","統一證券：台股中長線偏多格局不變","2016-08-08"
"65","《Fund投資》中小型股見增溫 可佈局店頭市場...","2016-08-05"
"66","日盛投顧：台股上檔壓力看9100-9200點...","2016-08-05"
"67","統一證券：台股月線持續墊高，下檔回檔空間有...","2016-08-05"
"68","國票證券：台股屬平台區震盪格局","2016-08-05"
